"","day_of_week","hour","popularity"
"1","1",4,0
"2","1",5,4
"3","1",6,11
"4","1",7,20
"5","1",8,29
"6","1",9,39
"7","1",10,49
"8","1",11,58
"9","1",12,66
"10","1",13,73
"11","1",14,78
"12","1",15,82
"13","1",16,83
"14","1",17,82
"15","1",18,76
"16","1",19,66
"17","1",20,53
"18","1",21,39
"19","1",22,25
"20","1",23,12
"21","1",0,3
"22","1",1,0
"23","1",2,0
"24","1",3,0
"25","2",4,6
"26","2",5,13
"27","2",6,21
"28","2",7,29
"29","2",8,37
"30","2",9,43
"31","2",10,48
"32","2",11,52
"33","2",12,56
"34","2",13,60
"35","2",14,64
"36","2",15,68
"37","2",16,69
"38","2",17,66
"39","2",18,58
"40","2",19,47
"41","2",20,32
"42","2",21,18
"43","2",22,7
"44","2",23,0
"45","2",0,0
"46","2",1,0
"47","2",2,0
"48","2",3,0
"49","3",4,6
"50","3",5,13
"51","3",6,21
"52","3",7,29
"53","3",8,36
"54","3",9,43
"55","3",10,49
"56","3",11,54
"57","3",12,58
"58","3",13,62
"59","3",14,66
"60","3",15,70
"61","3",16,70
"62","3",17,67
"63","3",18,58
"64","3",19,46
"65","3",20,31
"66","3",21,17
"67","3",22,6
"68","3",23,0
"69","3",0,0
"70","3",1,0
"71","3",2,0
"72","3",3,1
"73","4",4,8
"74","4",5,15
"75","4",6,22
"76","4",7,29
"77","4",8,35
"78","4",9,40
"79","4",10,45
"80","4",11,48
"81","4",12,52
"82","4",13,57
"83","4",14,62
"84","4",15,67
"85","4",16,70
"86","4",17,69
"87","4",18,62
"88","4",19,50
"89","4",20,35
"90","4",21,21
"91","4",22,9
"92","4",23,1
"93","4",0,0
"94","4",1,0
"95","4",2,0
"96","4",3,3
"97","5",4,9
"98","5",5,19
"99","5",6,30
"100","5",7,38
"101","5",8,43
"102","5",9,45
"103","5",10,46
"104","5",11,49
"105","5",12,56
"106","5",13,67
"107","5",14,79
"108","5",15,87
"109","5",16,86
"110","5",17,75
"111","5",18,58
"112","5",19,43
"113","5",20,32
"114","5",21,25
"115","5",22,16
"116","5",23,7
"117","5",0,0
"118","5",1,0
"119","5",2,0
"120","5",3,0
"121","6",4,8
"122","6",5,17
"123","6",6,26
"124","6",7,35
"125","6",8,42
"126","6",9,47
"127","6",10,52
"128","6",11,59
"129","6",12,68
"130","6",13,80
"131","6",14,92
"132","6",15,99
"133","6",16,100
"134","6",17,92
"135","6",18,80
"136","6",19,67
"137","6",20,56
"138","6",21,46
"139","6",22,34
"140","6",23,19
"141","6",0,6
"142","6",1,0
"143","6",2,0
"144","6",3,1
"145","7",4,5
"146","7",5,12
"147","7",6,21
"148","7",7,31
"149","7",8,41
"150","7",9,51
"151","7",10,59
"152","7",11,67
"153","7",12,74
"154","7",13,79
"155","7",14,84
"156","7",15,85
"157","7",16,82
"158","7",17,75
"159","7",18,66
"160","7",19,56
"161","7",20,47
"162","7",21,37
"163","7",22,26
"164","7",23,15
"165","7",0,6
"166","7",1,0
"167","7",2,0
"168","7",3,0
