"","name","rating","n_ratings","lat","lon"
"1","Almatur Poznań sp. z o.o.",4.3,57,52.4055687,16.9251043
"2","Santander Bank Polska S.A.",3.7,26,52.4072735,16.9218354
"3","Apliko",4.8,58,52.4068926,16.9280289
"4","Grand Theatre, Poznań",4.7,2631,52.409947,16.9178862
"5","GOKO TAKEAWAY",4.1,488,52.4110411,16.9121023
"6","Fit Expert Poznan",3.8,48,52.4134506,16.9143709
"7","Ministerstwo Browaru",4.6,1577,52.4060277,16.9252352
"8","Galeria MM",3.9,6644,52.4061635,16.9277701
"9","Sklep Fajowo.eu",4.8,276,52.4068121,16.9217883
"10","Billaboom",4.2,695,52.4091423,16.9104776
"11","Polish Theater in Poznan 1875",4.7,1032,52.4084216,16.9236361
"12","Apollo Cinema",4.6,1922,52.4046753,16.9264374
"13","Apteka. Dom Leków",3.6,87,52.4076188,16.9210197
"14","Żabka",3.3,176,52.405574,16.924663
"15","POLCAN",4.6,50,52.4126476,16.9228466
"16","SpecShop.pl - Militaria, Strzelectwo, Samoobrona",4.4,380,52.412922,16.9229403
"17","Centrum Kultury Zamek",4.7,2484,52.4076533,16.9192016
"18","Mollini Ristorante kuchnia włoska",4.6,808,52.4063285,16.92601
"19","Trekker Sport",4.8,431,52.4043833,16.9224073
"20","Specjalistyczny Okulistyczny Niepubliczny Zakład Opieki Zdrowotnej OCU SERVICE",4.2,74,52.4146279,16.9057937
"21","Świat Alkoholi",4,306,52.4137802,16.9097398
"22","Francuski Łącznik",4.3,1227,52.4224481,16.90596
"23","Wielkopolskie Centrum Medycyny Pracy",2.2,247,52.4136348,16.9139359
"24","Inventline Tonery Poznań Darmowa dostawa",4.7,41,52.4177224,16.9137882
"25","Dentistry - Bamberski Manor",4.5,169,52.4170314,16.9056831
"26","Joker Sp. z o.o.",3.7,60,52.4189104,16.9143277
"27","Studio Meblowe Boutique Pierrot Poznań",4.6,11,52.417843,16.9149609
"28","LexStrada Kancelaria Prawa Pracy Przemysław Dziubak radca prawny",4.6,83,52.4154632,16.9100594
"29","WALCZAK - wooden floors - showroom",4.9,10,52.4140355,16.9086812
