"","name","place_id","time_spent","current_popularity","website","price_level","rating","n_ratings","phone","business_status","locality","administrative_area_level_2","administrative_area_level_1","country","postal_code_prefix","lat","lon","subpremise","street_number","route","sublocality_level_1","postal_code","neighborhood","point_of_interest","premise"
"1","Poznań","ChIJtwrh7NJEBEcR0b80A5gx6qQ",NA,NA,"http://www.poznan.pl/",NA,NA,NA,NA,NA,"Poznań","Poznań","Greater Poland Voivodeship","Poland","62",52.406374,16.9251681,NA,NA,NA,NA,NA,NA,NA,NA
"2","Sheraton Poznan Hotel","ChIJBSXZuTRbBEcRkL5HV6GNNKM",NA,NA,"https://www.marriott.com/en-us/hotels/pozsi-sheraton-poznan-hotel/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0",NA,4.4,2153,"+48 61 655 20 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4067601,16.9108613,"9","3","Bukowska","Jeżyce","60-809",NA,NA,NA
"3","IKAR Poznań","ChIJwzA6H0lbBEcRxe10RpMFtj8",NA,NA,"https://phhhotele.pl/hotele/poznan-ikar/",NA,3.6,1158,NA,"OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4135493,16.9245149,NA,"18","Solna","Stare Miasto","61-736",NA,NA,NA
"4","Hotel NH Poznan","ChIJpRhM5m-TBUcRhZyA7vQFeak",NA,NA,"https://www.nh-hotels.com/hotel/nh-poznan?utm_campaign=local-gmb&utm_medium=organic_search&utm_source=google_gmb",NA,4.3,1068,"+48 61 624 88 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.406836,16.920811,NA,"67","Święty Marcin","Stare Miasto","61-806",NA,NA,NA
"5","Hotel Mercure Poznan Centrum","ChIJ6TmG5DRbBEcRM1rVX4dkMEY",NA,NA,"https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=3393&merchantid=seo-maps-PL-3393&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNTg3NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D",NA,4.5,3261,"+48 61 855 80 00","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.4084986,16.911609,NA,"20","Roosevelta","Jeżyce","60-829",NA,NA,NA
"6","Fusion Hostel","ChIJc0uGBzdbBEcRgMDG7fs4VhI",NA,NA,NA,NA,3.6,94,"+48 61 852 12 30","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.407229,16.921681,NA,"66/72","Święty Marcin","Stare Miasto","61-808",NA,NA,NA
"7","Traffic Hotel","ChIJfQ3TElZFBEcRtifj0q3Iyac",NA,NA,"http://www.hoteltraffic.pl/",NA,4.3,1960,"+48 61 666 01 42","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.402277,16.922887,NA,"1C","Niezłomnych","Stare Miasto","61-894",NA,NA,NA
"8","Monument to cryptologists in Poznań","ChIJn7MO9TZbBEcR50g3ervvUgo",NA,NA,"http://www.poznan.pl/mim/turystyka/pomniki,poi,2473/pogromcow-enigmy,51452.html",NA,4.8,77,NA,"OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.407498,16.9191946,NA,NA,"Kościuszki","Stare Miasto","60-995",NA,NA,NA
"9","Ławeczka Heliodora Święcickiego w Poznaniu","ChIJ2wozzTVbBEcRdilib_nhwbY",NA,NA,NA,NA,4.6,13,NA,"OPERATIONAL","Poznań","Poznań","Greater Poland Voivodeship","Poland",NA,52.4080704,16.9161042,NA,NA,NA,"Stare Miasto","60-995",NA,NA,NA
"10","Don Prestige Residence","ChIJE8loIDlbBEcRQRz1W0qggCg",NA,NA,"http://donprestige.com/",NA,4.5,993,"+48 61 859 05 90","OPERATIONAL","Poznań","Poznań","Wielkopolskie","Poland",NA,52.405973,16.9305136,NA,"2","Święty Marcin","Stare Miasto","61-803",NA,NA,NA
