Almatur Poznań sp. z o.o.,0,0,0,0,73,20,40,60,60,40,20,13,0,0,0,0,0,0,0,0,0,0,26,80,66,100,73,33,20,20,0,0,0,0,0,0,0,0,0,13,40,73,93,86,60,33,20,13,0,0,0,0,0,0,0,0,0,0,73,20,40,60,60,40,20,13,0,0,0,0,0,0,0,0,0,0,26,80,66,100,73,33,20,20,0,0,0,0,0,0,0,0,0,13,40,73,93,86,60,33,20,13,0,0,0,0,0,0,0,0,0,0,73,20,40,60,60,40,20,13,0,0,0,0,0,0,0,0,0,0,26,80,66,100,73,33,20,20,0,0,0,0,0,0,0,0,0,13,40,73,93,86,60,33,20,13,0,0,0,0,0,0,0,0,0,0,73,20
Santander Bank Polska S.A.,0,0,0,0,44,67,87,93,84,64,41,0,0,0,0,0,0,0,0,0,0,0,44,74,46,27,39,45,32,0,0,0,0,0,0,0,0,0,0,0,36,51,58,68,79,81,69,0,0,0,0,0,0,0,0,0,0,0,26,53,64,56,45,36,26,0,0,0,0,0,0,0,0,0,0,0,79,100,86,67,64,65,59,0,0,0,0,0,0,0,0,0,0,0,44,67,87,93,84,64,41,0,0,0,0,0,0,0,0,0,0,0,44,74,46,27,39,45,32,0,0,0,0,0,0,0,0,0,0,0,36,51,58,68,79,81,69,0,0,0,0,0,0,0,0,0,0,0,26,53,64,56,45,36,26,0,0,0,0,0,0,0,0,0,0,0,79,100
Apliko,0,0,0,0,27,44,55,55,50,44,88,33,0,0,0,0,0,0,0,0,0,0,38,55,55,38,38,44,38,22,0,0,0,0,0,0,0,0,0,0,33,44,38,27,16,33,44,0,0,0,0,0,0,0,0,0,0,0,22,38,33,16,5,16,50,61,0,0,0,0,0,0,0,0,0,0,16,33,55,66,50,27,27,61,0,0,0,0,0,0,0,0,0,0,27,100,100,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,44,55,55,50,44,88,33,0,0,0,0,0,0,0,0,0,0,38,55,55,38,38,44,38,22,0,0,0,0,0,0,0,0,0,0,33,44,38,27,16,33,44,0,0,0,0,0,0,0,0,0,0,0,22,38
"Grand Theatre, Poznań",0,0,0,0,0,0,0,65,52,37,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,100,77,60,48,39,0,0,0,0,0,0,0,0,0,0,0,0,0,87,68,50,38,32,0,0,0,0,0,0,0,0,0,0,0,0,0,94,76,55,38,28,0,0,0,0,0,0,0,0,0,0,0,0,0,82,61,43,38,39,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,17,23,32,0,0,0,0,0,0,0,0,0,0,0,0,0,65,52,37,26,19,0,0,0,0,0,0,0,0,0,0,0,0,0,100,77,60,48,39,0,0,0,0,0,0,0,0,0,0,0,0,0,87,68,50,38,32,0,0,0,0,0,0,0,0,0,0,0,0
GOKO TAKEAWAY,0,0,0,0,0,0,0,0,10,20,0,30,30,40,40,40,0,0,0,0,0,0,0,0,0,0,50,100,90,30,30,70,90,50,0,0,0,0,0,0,0,0,0,0,70,80,90,70,40,10,10,10,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,10,30,60,60,40,20,40,60,50,20,10,0,0,0,0,0,0,0,0,0,10,20,0,30,30,40,40,40,0,0,0,0,0,0,0,0,0,0,50,100,90,30,30,70,90,50,0,0,0,0,0,0,0,0,0,0,70,80,90,70,40,10,10,10,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0
Fit Expert Poznan,0,0,0,0,0,0,0,0,53,60,31,34,80,56,0,0,0,0,0,0,0,0,0,0,0,0,17,19,24,41,43,26,0,0,0,0,0,0,0,0,0,0,0,0,39,60,70,60,34,12,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,43,100,70,0,0,0,0,0,0,0,0,0,0,0,0,36,63,73,60,34,12,0,0,0,0,0,0,0,0,43,53,65,90,95,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,60,31,34,80,56,0,0,0,0,0,0,0,0,0,0,0,0,17,19,24,41,43,26,0,0,0,0,0,0,0,0,0,0,0,0,39,60,70,60,34,12,0,0,0,0,0,0,0,0,0,0
Ministerstwo Browaru,0,0,0,0,0,0,0,0,7,11,17,23,28,30,29,25,19,14,0,0,0,0,0,0,0,0,0,0,10,16,25,34,36,30,20,11,0,0,0,0,0,0,0,0,0,0,18,26,38,49,54,49,38,25,0,0,0,0,0,0,0,0,0,0,13,18,31,46,57,61,53,33,14,5,0,0,0,0,0,0,0,0,0,0,20,34,47,58,69,75,66,45,24,10,0,0,0,0,0,0,0,0,11,16,24,35,50,70,89,100,97,80,56,32,0,0,0,0,0,0,0,0,10,18,27,37,46,58,70,80,81,69,50,30,0,0,0,0,0,0,0,0,7,11,17,23,28,30,29,25,19,14,0,0,0,0,0,0,0,0,0,0,10,16,25,34,36,30
Galeria MM,0,0,0,0,12,20,28,34,39,41,44,48,0,0,0,0,0,0,0,0,0,31,44,56,64,68,71,76,85,92,91,78,0,0,0,0,0,0,0,35,49,61,70,73,73,73,78,84,86,76,0,0,0,0,0,0,0,36,48,56,60,61,64,71,80,87,88,80,0,0,0,0,0,0,0,32,44,55,62,65,67,71,78,85,85,72,0,0,0,0,0,0,0,47,64,76,79,78,79,85,94,100,96,83,0,0,0,0,0,0,0,34,55,75,90,95,92,88,87,89,89,81,0,0,0,0,0,0,0,0,12,20,28,34,39,41,44,48,0,0,0,0,0,0,0,0,0,31,44,56,64,68,71,76,85,92,91,78,0,0,0,0,0,0,0,35,49,61
Sklep Fajowo.eu,0,0,0,0,0,62,76,86,92,89,79,61,43,25,0,0,0,0,0,0,0,0,0,34,40,44,53,68,76,61,31,5,0,0,0,0,0,0,0,0,0,32,43,53,61,62,58,49,35,20,0,0,0,0,0,0,0,0,0,31,43,55,64,65,59,46,28,13,0,0,0,0,0,0,0,0,0,65,74,77,79,80,77,68,52,34,0,0,0,0,0,0,0,0,0,74,100,83,55,44,44,43,0,0,0,0,0,0,0,0,0,0,0,62,76,86,92,89,79,61,43,25,0,0,0,0,0,0,0,0,0,34,40,44,53,68,76,61,31,5,0,0,0,0,0,0,0,0,0,32,43,53,61,62,58,49,35,20,0,0,0,0,0,0,0,0,0,31
Billaboom,0,0,0,0,0,0,0,0,0,0,22,32,39,40,35,26,16,8,0,0,0,0,0,0,0,0,0,0,11,17,24,28,27,21,13,6,0,0,0,0,0,0,0,0,0,0,14,27,41,50,55,58,47,20,0,0,0,0,0,0,0,0,0,0,31,43,49,49,54,61,58,38,0,0,0,0,0,0,0,0,0,0,20,28,38,51,59,54,38,19,0,0,0,0,0,0,0,0,0,0,10,19,40,69,90,93,86,76,53,24,0,0,0,0,0,0,0,0,0,0,12,30,54,78,93,100,96,79,51,23,0,0,0,0,0,0,0,0,0,0,22,32,39,40,35,26,16,8,0,0,0,0,0,0,0,0,0,0,11,17,24,28,27,21,13,6,0,0
