kaponiera,teatralny,dworcowy,wierzb,wroclaw,solna,wielkop,cyryl
6,6,6,6,6,6,6,6
13,13,13,13,13,13,13,13
21,21,21,21,21,21,21,21
29,29,29,29,29,29,29,29
37,37,37,37,37,37,37,37
43,43,43,43,43,43,43,43
48,48,48,48,48,48,48,48
52,52,52,52,52,52,52,52
56,56,56,56,56,56,56,56
60,60,60,60,60,60,60,60
64,64,64,64,64,64,64,64
68,68,68,68,68,68,68,68
69,69,69,69,69,69,69,69
66,66,66,66,66,66,66,66
58,58,58,58,58,58,58,58
47,47,47,47,47,47,47,47
32,32,32,32,32,32,32,32
18,18,18,18,18,18,18,18
7,7,7,7,7,7,7,7
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
